Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
RWVG,Direxion Russell 1000® Value Over Growth ETF,Equity,"$26,178,400.00",4.14%,"6,106",$61.74,0.24%,No,False,-0.29%,3.03%,1.75%,26.92%,N/A,"-$7,396,675.00",$0.00,"-$2,973,100.00","-$16,275,150.00","-$5,358,100.00","$3,826,375.00",Large Cap Blend Equities,2019-01-16,0.63%,N/A,$0.57,2021-06-22,$0.30,0.96%,19.64,1.07,5,100.00%,40%,20%,1099,$58.30,$62.61,N/A,N/A,54.06,N/A,N/A,N/A,N/A,N/A,N/A,7.19,17.36%,51.74%,249.75,9.69%,3.83%
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,Equity,"$26,059,900.00",0.71%,"5,015",$43.61,0.30%,No,False,2.64%,3.29%,2.98%,28.91%,24.59%,"-$8,360,260.00",$0.00,$0.00,"-$3,534,380.00","-$52,016,560.00","-$97,494,790.00",Japan Equities,2013-06-28,0.58%,E*TRADE,$1.03,2021-09-24,$0.01,2.31%,10.72,0.64,718,6.98%,40%,20%,1099,$41.16,$43.38,$43.54,$43.64,57.10,A-,C,N/A,B,A+,A,4.17,2.02%,10.46%,194.21,2.70%,6.39%
GMET,VanEck Green Metals ETF,Equity,"$26,044,400.00",-2.11%,"14,022",$34.31,5.28%,No,False,3.63%,8.51%,N/A,N/A,N/A,"$12,667,206.00",$0.00,$0.00,"$24,707,415.50","$24,707,415.50","$24,707,415.50",N/A,2021-11-09,0.59%,N/A,$0.00,N/A,N/A,0.00%,N/A,0.00,50,55.22%,40%,20%,1099,$28.61,$34.48,$33.66,$34.63,55.31,N/A,N/A,N/A,N/A,N/A,N/A,5.46,4.51%,28.58%,411.46,2.33%,1.93%
XWEB,SPDR S&P Internet ETF,Equity,"$26,002,500.00",-39.26%,"2,337",$88.57,5.45%,No,False,5.56%,-5.69%,-48.88%,5.64%,38.51%,"$5,742,078.82",$0.00,"-$827,081.23","-$14,123,805.88","-$10,252,476.46","$24,114,708.46",All Cap Equities,2016-06-27,0.35%,N/A,$0.25,2020-12-21,$0.26,0.15%,28.43,1.35,63,23.04%,40%,20%,1099,$77.02,$90.83,$85.49,$90.27,46.69,N/A,A-,N/A,N/A,N/A,N/A,4.57,10.70%,18.54%,11.0,0.00%,2.68%
GLRY,Inspire Faithward Mid Cap Momentum ESG ETF,Equity,"$25,841,200.00",-20.18%,"3,823",$23.41,1.78%,No,False,2.59%,5.49%,-17.48%,N/A,N/A,"$3,678,000.00",$0.00,"$568,250.00","-$10,435,750.00","$28,085,000.00","$28,085,000.00",Mid Cap Growth Equities,2020-12-07,0.80%,N/A,$0.04,2021-09-24,$0.04,0.12%,17.35,1.54,37,31.14%,40%,20%,1099,$21.06,$23.47,$23.35,$23.43,53.91,N/A,N/A,N/A,N/A,N/A,N/A,5.54,29.57%,29.25%,84.47,3.00%,4.73%
NULC,Nuveen ESG Large-Cap ETF,Equity,"$25,815,200.00",-14.84%,"2,072",$35.15,2.00%,No,False,2.45%,-0.23%,-4.54%,N/A,N/A,$0.00,$0.00,$0.00,"$4,214,990.00","$17,779,460.00","$17,779,460.00",Large Cap Growth Equities,2019-06-03,0.20%,N/A,$1.42,2020-12-17,$1.42,3.26%,27.70,1.03,183,24.83%,40%,20%,1099,$32.42,$35.47,$34.97,$35.25,50.06,N/A,N/A,N/A,N/A,N/A,N/A,8.8,93.63%,86.36%,73.5,0.00%,9.53%
DXGE,WisdomTree Germany Hedged Equity Fund,Equity,"$25,751,500.00",-3.57%,"1,760",$34.57,0.52%,No,False,1.23%,3.75%,-0.38%,33.59%,27.72%,"-$3,258,570.00",$0.00,$0.00,"-$5,002,950.00","-$23,992,635.00","-$101,344,600.00",Europe Equities,2013-10-17,0.48%,E*TRADE,$1.01,2021-06-24,$0.76,2.76%,12.57,1.01,70,54.02%,40%,20%,1099,$32.47,$34.96,$34.57,$34.57,55.24,A-,B,A,C+,A,B+,7.4,5.36%,56.11%,237.63,19.45%,5.57%
DVLU,First Trust Dorsey Wright Momentum & Value ETF,Equity,"$25,699,100.00",3.45%,"9,291",$25.90,0.78%,No,False,1.81%,6.67%,5.70%,53.31%,N/A,"$157,258.00",$0.00,$0.00,"-$26,758,127.00","$2,857,892.50","$19,956,366.50",All Cap Equities,2018-09-05,0.60%,N/A,$0.27,2021-09-23,$0.07,1.07%,9.06,1.36,51,29.38%,40%,20%,1099,$23.10,$26.18,$25.85,$25.93,56.54,N/A,N/A,N/A,N/A,N/A,N/A,6.15,49.40%,36.75%,349.2,0.00%,3.16%
RDMX,SPDR Bloomberg SASB Developed Markets EX US ESG Select ETF,Equity,"$25,681,400.00",N/A,0,$26.17,1.79%,No,False,1.60%,3.05%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,2022-01-10,0.12%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,447,13.30%,40%,20%,1099,$23.94,$26.34,$26.17,$26.17,54.31,N/A,N/A,N/A,N/A,N/A,N/A,9.71,95.39%,96.21%,162.43,10.95%,8.46%
SPXE,ProShares S&P 500 Ex-Energy ETF,Equity,"$25,668,200.00",-13.97%,603,$88.62,1.86%,No,False,3.01%,0.57%,-1.56%,57.63%,88.73%,"-$951,868.81",$0.00,$0.10,"$2,012,233.04","$12,029,895.04","$11,499,295.04",Large Cap Growth Equities,2015-09-22,0.09%,N/A,$1.01,2021-09-22,$0.24,1.00%,26.43,0.95,485,28.17%,40%,20%,1099,$81.48,$89.21,$88.62,$88.62,50.55,B,B+,N/A,N/A,C+,N/A,8.09,70.01%,72.36%,128.17,7.25%,5.87%
ROSC,Hartford Multifactor Small Cap ETF,Equity,"$25,659,200.00",-7.72%,"2,326",$37.40,1.85%,No,False,2.30%,4.23%,-3.06%,43.45%,49.60%,"$134,740.00",$0.00,"-$1,789,020.00","$18,691,370.00","$3,116,450.00","$11,976,880.00",Small Cap Blend Equities,2015-03-24,0.34%,N/A,$0.55,2021-09-27,$0.12,1.28%,10.10,1.07,318,9.84%,40%,20%,1099,$34.29,$37.45,$37.37,$37.41,54.12,N/A,N/A,N/A,N/A,N/A,N/A,4.79,5.97%,22.74%,141.36,3.18%,7.30%
REMG,SPDR Bloomberg SASB Emerging Markets ESG Select ETF,Equity,"$25,646,400.00",N/A,0,$26.01,1.72%,No,False,3.47%,1.63%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,2022-01-10,0.16%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,664,20.66%,40%,20%,1099,$23.87,$25.93,$26.01,$26.01,53.15,N/A,N/A,N/A,N/A,N/A,N/A,6.02,48.89%,35.32%,391.75,3.72%,6.80%
JUSA,JPMorgan ActiveBuilders U.S. Large Cap Equity ETF,Equity,"$25,569,500.00",-11.57%,334,$47.28,1.61%,No,False,2.48%,1.33%,N/A,N/A,N/A,$0.00,$0.00,$0.00,"$2,460,000.00","$2,460,000.00","$2,460,000.00",Large Cap Blend Equities,2021-07-07,0.17%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.02,221,28.07%,40%,20%,1099,$43.63,$47.61,$47.28,$47.28,51.02,N/A,N/A,N/A,N/A,N/A,N/A,7.9,51.52%,67.79%,138.42,5.98%,5.89%
JIDA,JPMorgan ActiveBuilders International Equity ETF,Equity,"$25,476,000.00",-11.46%,833,$43.22,1.84%,No,False,1.64%,2.79%,N/A,N/A,N/A,$0.00,$0.00,$0.00,"$4,773,000.00","$4,773,000.00","$4,773,000.00",Global Equities,2021-07-07,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,-1.05,321,20.51%,40%,20%,1099,$39.40,$43.50,$43.22,$43.22,53.87,N/A,N/A,N/A,N/A,N/A,N/A,9.25,83.29%,92.66%,126.22,11.62%,6.64%
CVAR,Cultivar ETF,Equity,"$25,423,200.00",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"$15,635,152.50",$0.00,$0.00,"$24,432,297.50","$24,432,297.50","$24,432,297.50",N/A,2021-12-21,0.87%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79,27.30%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,7.35,21.27%,54.99%,132.46,0.00%,5.95%
FXP,ProShares UltraShort FTSE China 50,Equity,"$24,934,800.00",-10.51%,"56,249",$36.09,-5.92%,Yes,-2x,-10.71%,-13.14%,25.44%,-47.58%,-62.59%,"$2,511,619.61",$0.00,"$2,219,083.45","$4,419,629.44","$9,469,004.44","$15,060,381.34",Leveraged Equities,2007-11-08,0.95%,N/A,$0.00,2020-03-25,$0.02,0.00%,0.00,-1.17,1,100.00%,40%,20%,1099,$36.13,$50.46,$35.40,$37.39,40.96,B+,B,A,C+,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
OVLH,Overlay Shares Hedged Large Cap Equity ETF,Equity,"$24,823,500.00",-11.69%,"10,495",$26.46,1.30%,No,False,3.36%,1.57%,-2.01%,N/A,N/A,"$7,029,500.00","-$3,292,500.00","-$1,364,750.00","$17,854,500.00","$26,260,475.00","$26,260,475.00",N/A,2021-01-14,0.83%,N/A,$0.00,N/A,N/A,0.00%,26.00,0.90,4,100.00%,40%,20%,1099,$25.07,$26.44,$26.46,$26.46,50.43,N/A,N/A,N/A,N/A,N/A,N/A,7.87,48.94%,67.12%,150.08,6.19%,5.02%
FLJH,Franklin FTSE Japan Hedged ETF,Equity,"$24,736,000.00",-1.02%,"10,195",$31.11,0.68%,No,False,2.50%,3.16%,2.59%,44.19%,N/A,"$12,448,000.00",$0.00,$0.00,"$304,000.00","$9,604,000.00","$14,086,000.00",Japan Equities,2017-11-02,0.09%,N/A,$0.00,2018-12-20,$1.25,0.00%,16.47,0.71,509,20.89%,40%,20%,1099,$29.11,$30.99,$30.92,$31.21,57.70,N/A,N/A,N/A,N/A,N/A,N/A,8.36,59.37%,78.21%,92.52,6.95%,8.64%
KORU,Direxion MSCI Daily South Korea Bull 3X Shares,Equity,"$24,652,700.00",-38.26%,"60,623",$15.59,4.07%,No,3x,9.17%,6.05%,-64.44%,-17.46%,-65.81%,"-$4,078,750.00",$0.00,"-$663,400.00","$9,506,800.00","-$39,510,702.39","$26,502,897.61",Leveraged Equities,2013-04-11,1.23%,N/A,$0.00,2020-12-22,$0.00,0.01%,16.88,2.99,5,100.00%,40%,20%,1099,$12.26,$15.63,N/A,N/A,52.34,B-,C,N/A,N/A,N/A,C,5.85,23.57%,32.94%,192.13,2.90%,1.17%
JHMF,John Hancock Multifactor Financials ETF,Equity,"$24,581,500.00",-8.46%,"2,663",$47.99,1.44%,No,False,1.50%,3.15%,-6.31%,41.64%,65.86%,"-$2,347,420.00",$0.00,"-$1,340,376.00","-$11,417,993.00","-$28,582,922.00","-$33,608,821.00",Financials Equities,2015-09-28,0.40%,N/A,$0.71,2021-06-25,$0.34,1.31%,12.24,1.20,144,27.76%,40%,20%,1099,$43.50,$48.45,$47.80,$48.09,52.18,N/A,B-,N/A,N/A,N/A,N/A,7.49,40.79%,57.98%,17.0,4.42%,0.56%
TARK,AXS 2X Innovation ETF,Equity,"$24,439,100.00",N/A,N/A,$23.76,14.84%,No,False,12.39%,-23.97%,N/A,N/A,N/A,"$25,312,267.50","$8,108,352.50","$22,117,900.00","$25,312,267.50","$25,312,267.50","$25,312,267.50",N/A,2022-05-02,1.15%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40%,20%,1099,$16.26,$26.55,$21.40,$25.23,42.87,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DSTX,Distillate International Fundamental Stability & Value ETF,Equity,"$24,312,000.00",-8.24%,"3,452",$23.55,1.82%,No,False,2.37%,4.24%,-13.45%,N/A,N/A,"$2,512,695.00",$0.00,$0.00,"$6,440,995.00","$27,295,454.95","$27,295,454.95",Foreign Large Cap Equities,2020-12-14,0.55%,N/A,$0.44,2021-09-22,$0.09,1.71%,19.96,-0.96,103,20.96%,40%,20%,1099,$21.23,$23.58,$23.55,$23.55,56.90,N/A,N/A,N/A,N/A,N/A,N/A,7.17,3.34%,51.35%,325.85,8.09%,6.37%
PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,Equity,"$24,291,600.00",-9.59%,"1,128",$61.56,1.30%,No,False,1.93%,5.84%,-4.61%,30.62%,31.96%,"-$1,723,480.00",$0.00,$0.00,"$1,100,170.00","-$34,898,240.00","-$22,323,940.00",Utilities Equities,2010-04-07,0.29%,N/A,$1.15,2021-09-20,$0.69,1.69%,38.42,0.68,26,64.06%,40%,20%,1099,$56.39,$61.88,$61.24,$61.72,54.61,B-,A,A-,B+,A,C,6.98,11.39%,48.06%,173.48,0.00%,3.30%
ICAP,InfraCap Equity Income Fund ETF,Equity,"$24,266,200.00",3.66%,"18,271",$30.55,0.36%,No,False,1.85%,5.67%,N/A,N/A,N/A,"$20,360,265.00","$1,516,635.00","$2,945,007.50","$20,360,265.00","$20,360,265.00","$20,360,265.00",N/A,2021-12-29,0.80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104,31.97%,40%,20%,1099,$27.85,$30.72,N/A,N/A,57.71,N/A,N/A,N/A,N/A,N/A,N/A,4.9,1.28%,23.89%,358.96,6.98%,3.50%
CSA,VictoryShares US Small Cap Volatility Wtd ETF,Equity,"$24,205,200.00",-10.21%,615,$61.65,1.83%,No,False,2.70%,3.74%,-5.75%,49.68%,57.32%,$0.00,$0.00,$0.00,"$13,590.00","-$14,189,535.00","-$4,830,885.00",Small Cap Blend Equities,2015-07-08,0.35%,N/A,$0.85,2021-11-08,$0.02,1.19%,26.62,1.17,499,3.91%,40%,20%,1099,$56.47,$61.52,$61.65,$61.65,53.71,N/A,B+,N/A,N/A,N/A,N/A,5.0,10.52%,24.73%,129.31,3.71%,5.88%
PRAY,FIS Biblically Responsible Risk Managed ETF,Equity,"$24,194,100.00",N/A,"10,931",$23.51,1.86%,No,False,2.11%,1.57%,N/A,N/A,N/A,"$25,206,564.00","$230,186.00","$458,812.00","$25,206,564.00","$25,206,564.00","$25,206,564.00",N/A,2022-02-08,0.68%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40%,20%,1099,$21.70,$23.56,$23.51,$23.51,52.57,N/A,N/A,N/A,N/A,N/A,N/A,8.8,82.36%,86.41%,162.4,3.04%,3.68%
XBAP,Innovator U.S. Equity Accelerated 9 Buffer ETF - April,Equity,"$24,114,800.00",-3.86%,"16,663",$26.39,1.23%,No,False,1.93%,1.11%,0.88%,N/A,N/A,"$4,564,500.00","$1,312,000.00","$1,312,000.00","-$3,402,250.00","$22,305,592.50","$22,305,592.50",N/A,2021-04-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,26.45,0.40,2,100.00%,40%,20%,1099,$24.80,$26.52,$26.28,$26.45,52.17,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WUGI,Esoterica NextG Economy ETF,Equity,"$24,072,800.00",-30.54%,"3,029",$43.76,4.84%,No,False,7.90%,1.58%,-17.04%,N/A,N/A,"-$7,074,773.05",$0.00,"-$1,928,462.65","-$17,120,765.73","$23,613,690.61","$23,613,690.61",Large Cap Growth Equities,2020-03-31,0.75%,N/A,$0.00,N/A,N/A,0.00%,37.40,1.02,27,71.93%,40%,20%,1099,$37.81,$43.17,$42.37,$44.46,51.38,N/A,N/A,N/A,N/A,N/A,N/A,8.56,74.63%,82.30%,22.79,0.00%,6.61%
ALFA,AlphaClone Alternative Alpha ETF,Equity,"$23,976,000.00",-20.11%,"4,457",$62.32,3.88%,No,False,3.90%,2.38%,-19.61%,26.05%,60.24%,"$84,500.00","-$90,000.00","-$1,508,250.00","$2,243,000.00","$1,206,500.00","-$16,068,000.00",All Cap Equities,2012-05-31,0.65%,N/A,$0.37,2020-12-21,$0.37,0.42%,0.00,1.14,49,29.17%,40%,20%,1099,$55.20,$62.57,$61.09,$62.93,51.40,B,C+,A+,C+,B+,A+,6.41,6.43%,39.83%,113.22,4.42%,5.64%
UPW,ProShares Ultra Utilities,Equity,"$23,801,700.00",8.48%,"4,892",$80.48,1.35%,No,2x,1.47%,10.18%,33.74%,47.53%,77.67%,"$315,547.50",$0.00,$0.00,"$5,912,582.50","$4,312,582.50","$5,109,832.50",Leveraged Equities,2007-01-30,0.95%,N/A,$0.80,2021-09-22,$0.23,1.23%,0.00,0.86,50,64.07%,40%,20%,1099,$70.36,$81.56,$78.31,$81.56,57.29,C+,C,A-,A-,N/A,N/A,8.09,82.86%,72.36%,2176.17,48.16%,6.04%
UTSL,Direxion Daily Utilities Bull 3X Shares,Equity,"$23,745,200.00",10.90%,"72,843",$44.05,2.20%,No,3x,1.87%,14.18%,49.94%,39.70%,71.37%,"-$8,609,550.00",$0.00,$0.00,"-$7,447,800.00","$3,298,500.00","$6,481,400.00",Leveraged Equities,2017-05-03,0.97%,N/A,$0.36,2021-09-21,$0.08,1.13%,23.20,1.30,34,86.40%,40%,20%,1099,$36.12,$44.75,$42.13,$45.05,56.15,N/A,N/A,N/A,N/A,N/A,N/A,7.8,0.00%,65.47%,2206.98,48.63%,5.88%
FDEM,Fidelity Emerging Markets Multifactor ETF,Equity,"$23,594,200.00",-6.43%,"5,223",$23.91,1.14%,No,False,2.88%,2.15%,-15.42%,8.56%,N/A,"$4,644,480.00",$0.00,$0.00,"$4,644,480.00","$15,658,900.00","$15,658,900.00",Emerging Markets Equities,2019-02-26,0.45%,N/A,$0.63,2021-09-17,$0.18,2.41%,11.24,0.79,205,22.09%,40%,20%,1099,$22.09,$23.87,$23.69,$24.07,55.42,N/A,N/A,N/A,N/A,N/A,N/A,5.73,36.74%,30.94%,278.52,3.21%,6.11%
BFIT,Global X Health & Wellness ETF,Equity,"$23,552,200.00",-21.67%,"2,671",$21.98,3.05%,No,False,5.67%,-0.50%,-24.75%,18.84%,48.58%,"-$7,484,168.92","-$1,286,776.54","-$2,124,495.15","$1,449,039.92","$8,047,721.44","$21,675,552.14",Consumer Discretionary Equities,2016-05-09,0.50%,N/A,$0.14,2021-06-29,$0.04,0.46%,40.75,0.95,65,30.76%,40%,20%,1099,$19.65,$21.87,$21.61,$22.16,51.67,N/A,B+,N/A,N/A,N/A,N/A,5.3,20.23%,27.32%,34.28,0.37%,7.08%
RNLC,First Trust Large Cap US Equity Select ETF,Equity,"$23,536,000.00",-9.57%,"2,823",$31.86,1.50%,No,False,2.01%,2.51%,0.61%,57.04%,N/A,"-$6,835,991.00","$3,125,444.00","$3,125,444.00","-$3,589,064.50","-$3,436,690.50","$12,612,900.50",Large Cap Blend Equities,2017-06-20,0.60%,N/A,$0.34,2021-09-23,$0.09,0.99%,21.38,1.06,358,9.08%,40%,20%,1099,$29.46,$32.09,$31.86,$31.86,52.59,N/A,N/A,N/A,N/A,N/A,N/A,8.24,77.08%,75.61%,140.98,4.50%,4.86%
EGIS,2nd Vote Society Defended ETF,Equity,"$23,535,000.00",-5.46%,"4,954",$32.93,1.29%,No,False,1.88%,3.66%,4.42%,N/A,N/A,"-$1,637,407.50",$0.00,"-$789,040.00","$10,133,945.00","$22,814,572.50","$22,814,572.50",All Cap Equities,2020-11-18,0.75%,N/A,$0.03,2020-12-29,$0.03,0.07%,22.45,1.06,38,37.80%,40%,20%,1099,$30.19,$33.07,N/A,N/A,53.14,N/A,N/A,N/A,N/A,N/A,N/A,7.1,15.33%,50.15%,159.5,13.98%,7.77%
LETB,AdvisorShares Let Bob AI Powered Momentum ETF,Equity,"$23,481,000.00",N/A,"5,048",$23.53,0.13%,No,False,0.51%,-1.94%,N/A,N/A,N/A,"$5,872,030.00",$0.00,$0.00,"$5,872,030.00","$5,872,030.00","$5,872,030.00",N/A,2022-02-08,0.87%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,96.65%,40%,20%,1099,$23.07,$23.82,$23.51,$23.55,39.59,N/A,N/A,N/A,N/A,N/A,N/A,6.75,10.26%,44.25%,462.18,2.52%,2.36%
DUSL,Direxion Daily Industrials Bull 3X Shares,Equity,"$23,437,500.00",-29.35%,"16,157",$33.05,5.42%,No,3x,7.68%,-0.03%,-29.80%,27.72%,32.92%,"-$15,962,050.00","-$1,632,600.00","-$1,632,600.00","-$61,352,150.00","-$5,471,760.24","-$3,389,810.24",Leveraged Equities,2017-05-03,0.97%,N/A,$0.08,2021-06-22,$0.01,0.16%,27.73,3.62,75,66.12%,40%,20%,1099,$26.84,$34.14,$31.92,$33.62,49.61,N/A,N/A,N/A,N/A,N/A,N/A,7.02,0.00%,48.85%,160.15,13.44%,1.05%
IBBQ,Invesco Nasdaq Biotechnology ETF,Equity,"$23,427,700.00",-21.92%,"17,012",$18.49,0.33%,No,False,-0.22%,-2.17%,N/A,N/A,N/A,"$8,388,990.00",$0.00,"$352,180.00","-$29,374,330.00","-$29,374,330.00","-$29,374,330.00",N/A,2021-06-11,0.19%,N/A,$0.04,2021-09-20,$0.04,0.18%,99.02,-1.44,371,53.65%,40%,20%,1099,$17.24,$19.21,$18.18,$18.65,45.65,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HLGE,Hartford Longevity Economy ETF,Equity,"$23,335,500.00",-10.91%,117,$24.99,1.63%,No,False,2.22%,1.87%,-3.60%,N/A,N/A,$0.00,$0.00,$0.00,"$22,538,665.00","$22,538,639.37","$22,538,639.37",N/A,2021-03-16,0.44%,N/A,$0.08,2021-09-27,$0.07,0.28%,16.02,1.01,330,9.73%,40%,20%,1099,$23.15,$25.13,$24.99,$24.99,51.74,N/A,N/A,N/A,N/A,N/A,N/A,7.39,22.52%,55.77%,45.35,3.42%,5.73%
RNSC,Furst Trust Small Cap US Equity Select ETF,Equity,"$23,312,600.00",-6.14%,"5,090",$27.91,1.64%,No,False,2.39%,3.56%,-5.81%,48.65%,N/A,"$4,173,209.00","$1,371,325.00","$1,371,325.00","$14,259,633.00","$14,787,211.00","$18,997,159.50",Small Cap Blend Equities,2017-06-20,0.60%,N/A,$0.37,2021-09-23,$0.12,1.22%,15.37,1.20,299,24.30%,40%,20%,1099,$25.83,$27.96,$27.57,$28.08,53.98,N/A,N/A,N/A,N/A,N/A,N/A,5.25,2.24%,26.91%,134.21,1.76%,6.64%
EDOG,ALPS Emerging Sector Dividend Dogs ETF,Equity,"$23,289,000.00",-6.34%,"6,145",$22.69,1.93%,No,False,2.21%,2.72%,-7.32%,22.59%,14.97%,$0.00,$0.00,$0.00,"$1,275,500.00","-$7,128,500.00","-$11,480,000.00",Emerging Markets Equities,2014-03-28,0.60%,Charles Schwab,$0.94,2021-09-23,$0.33,3.74%,12.35,0.92,58,23.13%,40%,20%,1099,$20.80,$22.75,$22.45,$23.00,55.41,C+,B+,A,B,A,B-,5.35,2.47%,27.72%,709.36,6.70%,9.03%
EURL,Direxion Daily FTSE Europe Bull 3x Shares,Equity,"$23,204,000.00",-37.31%,"38,115",$23.66,6.87%,No,3x,4.42%,6.88%,-38.66%,-0.36%,-23.01%,"-$7,354,650.00",$0.00,$0.00,"-$13,037,150.00","-$3,068,250.00","-$20,298,900.00",Leveraged Equities,2014-01-22,1.01%,N/A,$0.14,2021-09-21,$0.09,0.36%,20.45,2.90,5,100.00%,40%,20%,1099,$17.76,$24.04,$22.93,$24.03,52.48,B,B,C+,N/A,N/A,N/A,7.31,63.57%,54.13%,117.4,4.88%,3.24%
GENY,Principal Millennials ETF,Equity,"$23,197,700.00",-24.48%,"11,332",$43.40,2.84%,No,False,-0.39%,0.24%,-31.62%,26.34%,60.53%,"-$60,775,820.00",$0.00,$0.00,"-$55,152,495.00","$5,605,180.00","$16,868,585.00",Large Cap Growth Equities,2016-08-19,0.45%,N/A,$0.31,2021-10-01,$0.09,0.48%,18.89,1.07,143,26.08%,40%,20%,1099,$39.28,$43.53,$42.94,$43.63,49.80,N/A,A,N/A,N/A,N/A,N/A,6.62,9.84%,42.50%,20.75,1.75%,1.72%
ERSX,ERShares NextGen Entrepreneurs ETF,Equity,"$23,164,700.00",-23.72%,"1,698",$13.72,2.24%,No,False,3.56%,-0.09%,-26.38%,6.59%,N/A,"-$734,500.00",$0.00,$0.00,"-$41,500.00","$11,731,060.00","$18,025,598.20",Small Cap Blend Equities,2018-12-27,0.75%,N/A,$0.12,2020-12-21,$0.12,0.48%,32.36,1.10,121,22.11%,40%,20%,1099,$12.40,$13.75,$13.67,$13.75,51.26,N/A,N/A,N/A,N/A,N/A,N/A,6.63,36.75%,42.62%,100.36,2.48%,6.03%
SPAX,Robinson Alternative Yield Pre-merger SPAC ETF,Equity,"$23,031,800.00",0.25%,"4,858",$20.55,0.00%,No,False,0.69%,-0.15%,N/A,N/A,N/A,"$5,117,297.50",$0.00,"$2,562,200.00","$22,896,742.50","$22,896,742.50","$22,896,742.50",N/A,2021-06-22,0.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.28,213,13.83%,40%,20%,1099,$20.33,$20.62,$20.53,$20.58,53.16,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HEWC,iShares Currency Hedged MSCI Canada ETF,Equity,"$22,882,500.00",0.06%,"7,257",$33.20,1.47%,No,False,2.44%,1.87%,7.91%,43.67%,57.23%,"$4,616,249.00","$323,847.00","$967,146.00","$11,730,735.00","-$16,135,146.00","$18,702,139.00",Global Equities,2015-06-29,0.53%,N/A,$0.52,2021-07-02,$0.18,1.51%,20.88,0.79,3,99.99%,40%,20%,1099,$31.11,$33.15,$32.97,$33.33,54.84,B,C+,N/A,N/A,B-,N/A,10.0,100.00%,100.00%,352.39,6.85%,2.34%
FGM,First Trust Germany AlphaDEX Fund,Equity,"$22,855,300.00",-20.32%,"24,222",$42.62,2.85%,No,False,4.00%,3.80%,-27.44%,10.48%,6.95%,"-$59,719,267.50",$0.00,"-$5,973,056.00","-$68,364,099.00","-$123,034,022.50","-$137,119,789.50",Europe Equities,2012-02-14,0.80%,N/A,$0.88,2021-09-23,$0.06,1.57%,11.93,1.15,41,42.48%,40%,20%,1099,$37.87,$42.52,$42.18,$42.84,54.35,B,C,B+,B,C+,B-,7.58,7.00%,60.24%,336.37,14.04%,13.38%
KSCD,KFA Small Cap Quality Dividend Index ETF,Equity,"$22,847,900.00",-7.58%,"9,177",$27.35,1.60%,No,False,1.92%,2.50%,-4.73%,N/A,N/A,"-$9,274,566.68",-$713.29,"-$10,799,661.61","-$14,486,399.97","$20,801,924.24","$20,801,924.24",Small Cap Blend Equities,2019-06-12,0.51%,N/A,$0.40,2020-12-29,$0.40,1.32%,17.53,0.75,47,24.69%,40%,20%,1099,$25.64,$27.24,$27.26,$27.39,53.77,N/A,N/A,N/A,N/A,N/A,N/A,6.51,63.40%,41.08%,218.38,2.18%,5.68%
